시군구,읍면동,위도,경도
관악구,,37.48293623,126.907516
관악구,,37.45354552,126.948412
관악구,,37.46097307,126.930073
관악구,,37.47586091,126.9154715
관악구,,37.47054246,126.9211791
서초구,,37.48692295,127.0201018
서초구,,37.48882604,127.0278821
서초구,,37.48543262,127.0094732
서초구,,37.49894199,127.0198382
서초구,,37.51760656,127.0130416
서초구,,37.50628636,126.9864467
서초구,,37.50549613,127.0167056
서초구,,37.50629272,126.995626
서초구,,37.51227927,127.0036003
서초구,,37.49959137,127.0033349
서초구,,37.4949367,126.9877502
서초구,,37.48487947,126.9962533
서초구,,37.47318326,126.9883815
서초구,,37.47429918,126.9979437
서초구,,37.48981491,126.9909498
서초구,,37.4695323,127.0225492
서초구,,37.45106633,127.045923
서초구,,37.45650616,127.0706531
강남구,,37.52570445,127.0213676
강남구,,37.51186691,127.0264819
강남구,,37.51517735,127.0362171
강남구,,37.53025994,127.0334378
강남구,,37.52461674,127.0504451
강남구,,37.51537047,127.0606096
강남구,,37.51183603,127.0487719
강남구,,37.49331724,127.0590405
강남구,,37.50057376,127.0663677
강남구,,37.50157378,127.0548555
강남구,,37.50085569,127.0355007
강남구,,37.49849581,127.0448681
강남구,,37.48898423,127.0409497
강남구,,37.48820416,127.0496452
강남구,,37.47959093,127.0595936
강남구,,37.48401261,127.0688244
강남구,,37.47564222,127.0531989
강남구,,37.47107923,127.1044417
강남구,,37.4822608,127.0846112
강남구,,37.49336813,127.0892181
강남구,,37.4868416,127.1003921
송파구,,37.53821994,127.1142833
송파구,,37.52982222,127.1101185
송파구,,37.49468092,127.1418048
송파구,,37.49482525,127.1556005
송파구,,37.50033317,127.151395
수원시장안구,,37.3204218,126.9889683
수원시장안구,,37.29881025,126.9721434
수원시장안구,,37.30473736,126.9892464
수원시장안구,,37.29222805,126.998246
수원시장안구,,37.29848214,126.984497
수원시장안구,,37.29121121,127.0136175
수원시장안구,,37.30635463,127.0048325
수원시장안구,,37.30050742,127.0166691
수원시장안구,,37.30862446,127.01329
수원시장안구,,37.32471883,127.022772
수원시권선구,,37.2598718,127.005287
수원시권선구,,37.24491498,127.0077719
